Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
upx/upx,5,0,0,0,0,0,0,0,0,0.0,67031040,upx/upx,https://github.com/upx/upx,2016-08-31 11:23:13,C,,8399,918,8399,128,90,upx/upx,upx/upx,1,0,1,20,729580,7,85,3551,126,364,490,0,43,2016-08-31 11:23:13,2012,362.61431411530816,0.0099403578528827,0.0422465208747514,0.0034791252485089,1.764910536779324,12.142857142857142,1
glfw/glfw,131,3,0,0,0,10,23,0,63,0.0,9524997,glfw/glfw,https://github.com/glfw/glfw,2013-04-18 15:24:53,C,,8360,3228,8360,470,65,glfw/glfw,glfw/glfw,57,473,530,185,422650,17,58,4424,422,1080,1502,26,708,2013-04-18 15:24:53,3243,130.3268578476719,0.0570459451125501,0.0178846746839346,0.0052420598211532,1.3641689793401173,3.411764705882353,0
davatorium/rofi,47,9,0,0,0,22,26,0,7,1.0,7715820,davatorium/rofi,https://github.com/davatorium/rofi,2013-01-20 11:54:45,C,,8325,437,8325,67,95,davatorium/rofi,davatorium/rofi,11,297,308,134,34480,30,61,3615,52,1056,1108,3,98,2013-01-20 11:54:45,3331,10.351245872110477,0.0402281597117982,0.0183128189732812,0.0090063044130891,1.085259681777244,2.033333333333333,0
libgit2/libgit2,77,4,0,0,0,16,32,1,39,0.0,901662,libgit2/libgit2,https://github.com/libgit2/libgit2,2010-09-10 16:17:48,C,,8179,2153,8179,433,83,libgit2/libgit2,libgit2/libgit2,113,4150,4263,550,66497,30,10,14483,328,1536,1864,0,159,2010-09-10 16:17:48,4194,15.855269432522652,0.1311397234144015,0.0023843586075345,0.0071530758226037,3.4532665712923225,0.3333333333333333,0
libevent/libevent,0,8,0,0,0,7,14,0,0,4.0,1856976,libevent/libevent,https://github.com/libevent/libevent,2011-06-06 21:42:50,C,,8177,2921,8177,133,75,libevent/libevent,libevent/libevent,0,468,468,273,3041140,18,14,4613,119,649,768,3,38,2011-06-06 21:42:50,3925,774.8127388535032,0.0695541401273885,0.0035668789808917,0.0045859872611464,1.1752866242038216,0.7777777777777778,0
raysan5/raylib,38,17,1,0,0,36,52,1,1,1.0,13836499,raysan5/raylib,https://github.com/raysan5/raylib,2013-10-24 15:46:04,C,,8084,959,8084,15,93,raysan5/raylib,raysan5/raylib,1,1074,1075,338,7181,19,89,5670,10,1126,1136,0,144,2013-10-24 15:46:04,3054,2.351342501637197,0.1106745252128356,0.0291421087098886,0.0062213490504256,1.856581532416503,4.684210526315789,0
lvgl/lvgl,49,2,1,0,0,6,38,0,0,2.0,60667730,lvgl/lvgl,https://github.com/lvgl/lvgl,2016-06-08 04:14:34,C,,8047,1599,8047,38,89,lvgl/lvgl,lvgl/lvgl,0,1209,1209,277,150,30,1,7829,35,1881,1916,1,171,2016-06-08 04:14:34,2096,0.0715648854961832,0.1321564885496183,0.0004770992366412,0.0143129770992366,3.7352099236641214,0.0333333333333333,0
darlinghq/darling,0,1,0,0,0,1,3,0,6,4.0,7077690,darlinghq/darling,https://github.com/darlinghq/darling,2012-12-09 10:31:44,C,,7922,328,7922,200,98,darlinghq/darling,darlinghq/darling,2,165,167,67,9197,8,16,3690,205,734,939,3,36,2012-12-09 10:31:44,3373,2.7266528313074416,0.0198636228876371,0.0047435517343611,0.0023717758671805,1.0939816187370293,2.0,0
microsoft/react-native-code-push,50,3,0,1,0,14,30,0,46,14.0,36749153,microsoft/react-native-code-push,https://github.com/microsoft/react-native-code-push,2015-06-02 17:19:20,C,,7841,1222,7841,164,94,microsoft/react-native-code-push,microsoft/react-native-code-push,15,730,745,159,0,30,0,1733,43,1443,1486,6,421,2015-06-02 17:19:20,2468,0.0,0.0644246353322528,0.0,0.0121555915721231,0.7021880064829822,0.0,0
antirez/disque,239,1,0,0,0,23,27,0,175,1.0,34676773,antirez/disque,https://github.com/antirez/disque,2015-04-27 16:06:09,C,,7823,547,7823,60,99,antirez/disque,antirez/disque,18,91,109,59,0,1,0,602,41,65,106,4,133,2015-04-27 16:06:09,2504,0.0,0.0235623003194888,0.0,0.0003993610223642,0.2404153354632587,0.0,0
