fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
HandBrake/HandBrake,0,1,0,1,0,1,1,1,0,8917,8917,863,86,HandBrake/HandBrake,HandBrake/HandBrake,20,0,20,118,268917,30,405,11190,246,3130,3376,0,20,422.0,95.0,112.0,106.0,112.0,92.0,0
systemd/systemd,0,1,0,1,0,0,0,0,0,8761,8761,2768,59,systemd/systemd,systemd/systemd,184,0,184,2288,0,30,0,56564,1572,6941,8513,4,45,499.0,120.0,111.0,147.0,111.0,130.0,1
torch/torch7,0,1,0,1,0,0,1,0,0,8671,8671,2389,67,torch/torch7,torch/torch7,15,492,507,167,0,0,0,1337,277,443,720,0,13,508.0,128.0,110.0,140.0,110.0,148.0,1
irungentoo/toxcore,1,1,0,1,1,0,1,0,0,8666,8666,1274,84,irungentoo/toxcore,irungentoo/toxcore,7,849,856,221,0,0,0,3771,90,554,644,2,95,494.0,118.0,109.0,117.0,109.0,159.0,1
acidanthera/OpenCorePkg,0,1,0,1,0,1,1,0,0,8636,8636,1521,79,acidanthera/OpenCorePkg,acidanthera/OpenCorePkg,1,319,320,81,359568,30,62,4060,0,0,0,0,31,482.0,113.0,108.0,124.0,108.0,142.0,1
raspberrypi/linux,0,0,0,0,0,0,1,0,0,8550,8550,4005,54,raspberrypi/linux,raspberrypi/linux,52,1651,1703,29267,0,0,0,1049812,617,2572,3189,0,46,543.0,141.0,107.0,163.0,107.0,166.0,1
squeaky-pl/japronto,0,1,0,1,0,1,0,0,0,8512,8512,588,92,squeaky-pl/japronto,squeaky-pl/japronto,8,31,39,24,0,0,0,736,83,62,145,0,26,411.0,92.0,106.0,97.0,106.0,102.0,0
SoftEtherVPN/SoftEtherVPN,0,1,0,1,0,1,1,1,0,8505,8505,2132,76,SoftEtherVPN/SoftEtherVPN,SoftEtherVPN/SoftEtherVPN,8,646,654,113,219036,19,116,1648,189,670,859,0,38,499.0,120.0,105.0,135.0,105.0,154.0,1
upx/upx,0,1,0,1,1,1,1,0,0,8399,8399,918,90,upx/upx,upx/upx,1,0,1,20,729580,7,85,3551,126,364,490,0,43,355.0,87.0,104.0,107.0,104.0,40.0,0
glfw/glfw,1,1,0,1,1,1,1,1,0,8360,8360,3228,65,glfw/glfw,glfw/glfw,57,473,530,185,422650,17,58,4424,422,1080,1502,26,708,510.0,132.0,103.0,155.0,103.0,149.0,1
davatorium/rofi,0,1,0,1,0,1,1,0,1,8325,8325,437,95,davatorium/rofi,davatorium/rofi,11,297,308,134,34480,30,61,3615,52,1056,1108,3,98,437.0,96.0,102.0,92.0,102.0,141.0,0
videolan/vlc,1,1,0,1,0,1,1,1,0,8285,8285,2879,72,videolan/vlc,videolan/vlc,0,118,118,1063,0,0,0,91885,0,0,0,0,3,469.0,110.0,101.0,148.0,101.0,119.0,1
huangz1990/redis-3.0-annotated,1,0,0,1,0,0,1,1,0,8272,8272,3717,66,huangz1990/redis-3.0-annotated,huangz1990/redis-3.0-annotated,9,6,15,125,0,0,0,3933,16,10,26,0,16,439.0,97.0,100.0,161.0,100.0,78.0,0
libgit2/libgit2,1,1,0,1,1,1,1,1,0,8179,8179,2153,83,libgit2/libgit2,libgit2/libgit2,113,4150,4263,550,66497,30,10,14483,328,1536,1864,0,159,508.0,128.0,99.0,136.0,99.0,174.0,1
libevent/libevent,0,0,0,1,0,0,1,0,0,8177,8177,2921,75,libevent/libevent,libevent/libevent,0,468,468,273,3041140,18,14,4613,119,649,768,3,38,493.0,117.0,98.0,150.0,98.0,147.0,1
raysan5/raylib,0,1,0,1,0,1,1,0,0,8084,8084,959,93,raysan5/raylib,raysan5/raylib,1,1074,1075,338,7181,19,89,5670,10,1126,1136,0,144,464.0,107.0,97.0,109.0,97.0,161.0,1
lvgl/lvgl,1,1,0,1,0,0,1,1,0,8047,8047,1599,89,lvgl/lvgl,lvgl/lvgl,0,1209,1209,277,150,30,1,7829,35,1881,1916,1,171,479.0,112.0,96.0,125.0,96.0,162.0,1
darlinghq/darling,0,0,0,1,0,0,1,0,0,7922,7922,328,98,darlinghq/darling,darlinghq/darling,2,165,167,67,9197,8,16,3690,205,734,939,3,36,407.0,91.0,95.0,90.0,95.0,127.0,0
microsoft/react-native-code-push,0,1,0,1,1,0,1,0,0,7841,7841,1222,94,microsoft/react-native-code-push,microsoft/react-native-code-push,15,730,745,159,0,30,0,1733,43,1443,1486,6,421,459.0,104.0,94.0,115.0,94.0,156.0,1
antirez/disque,1,1,0,1,0,1,1,0,0,7823,7823,547,99,antirez/disque,antirez/disque,18,91,109,59,0,1,0,602,41,65,106,4,133,397.0,90.0,93.0,94.0,93.0,117.0,0
borgbackup/borg,0,1,0,0,1,1,1,0,0,7752,7752,595,97,borgbackup/borg,borgbackup/borg,24,2999,3023,281,4636,30,360,6589,576,2766,3342,13,95,454.0,101.0,92.0,98.0,92.0,172.0,1
cesanta/mongoose,0,1,0,1,0,0,1,1,0,7706,7706,2178,88,cesanta/mongoose,cesanta/mongoose,5,405,410,142,3798,30,9,3655,2,1055,1057,0,247,465.0,108.0,91.0,138.0,91.0,145.0,1
EZLippi/Tinyhttpd,0,0,0,1,0,0,1,0,0,7685,7685,3324,81,EZLippi/Tinyhttpd,EZLippi/Tinyhttpd,7,9,16,7,0,0,0,25,18,20,38,0,10,417.0,93.0,90.0,158.0,90.0,79.0,0
espressif/arduino-esp32,0,1,0,0,1,1,1,1,0,7682,7682,4847,78,espressif/arduino-esp32,espressif/arduino-esp32,39,1588,1627,522,1421752,30,114,1678,357,4384,4741,1,45,509.0,130.0,89.0,166.0,89.0,165.0,1
PX4/NuttX,1,1,0,1,0,1,1,1,1,99,99,160,100,PX4/NuttX,PX4/NuttX,0,162,162,521,0,0,0,42212,4,13,17,0,13,390.0,89.0,88.0,88.0,88.0,126.0,0
hvqzao/foolavc,0,1,0,1,0,1,1,0,0,98,98,33,102,hvqzao/foolavc,hvqzao/foolavc,0,0,0,1,0,0,0,9,0,1,1,0,7,248.0,75.0,87.0,73.0,87.0,1.0,0
DanieleDeSensi/peafowl,0,1,0,0,1,1,0,1,0,97,97,33,104,DanieleDeSensi/peafowl,DanieleDeSensi/peafowl,0,35,35,13,29,2,3,456,1,8,9,0,70,343.0,86.0,86.0,73.0,86.0,98.0,0
xiph/opusfile,0,0,0,0,0,1,1,0,0,96,96,47,101,xiph/opusfile,xiph/opusfile,3,10,13,26,16019,6,12,457,8,9,17,0,6,328.0,85.0,85.0,82.0,85.0,76.0,0
rigglemania/pysqlcipher3,0,1,0,1,1,0,1,0,0,95,95,29,107,rigglemania/pysqlcipher3,rigglemania/pysqlcipher3,1,0,1,5,0,0,0,33,8,10,18,0,10,277.0,80.0,84.0,69.0,84.0,40.0,0
moonpolysoft/cherly,1,1,0,1,0,0,1,0,0,94,94,16,115,moonpolysoft/cherly,moonpolysoft/cherly,0,0,0,1,0,0,0,50,2,0,2,0,7,207.0,61.0,83.0,40.0,83.0,1.0,0
heltonWernik/OpenLuck,0,0,0,1,0,0,1,0,0,93,93,47,103,heltonWernik/OpenLuck,heltonWernik/OpenLuck,0,1,1,3,0,0,0,9,3,0,3,0,5,286.0,82.0,82.0,82.0,82.0,40.0,0
Jiantastic/c-to-mips-compiler,0,0,0,1,0,0,1,0,0,92,92,28,110,Jiantastic/c-to-mips-compiler,Jiantastic/c-to-mips-compiler,0,10,10,4,0,0,0,69,0,1,1,0,13,298.0,83.0,81.0,64.0,81.0,72.0,0
bubicn/bubichain-v3,1,0,0,0,0,1,0,0,0,91,91,57,106,bubicn/bubichain-v3,bubicn/bubichain-v3,0,0,0,17,0,0,0,278,5,0,5,0,7,245.0,74.0,80.0,84.0,80.0,1.0,0
