fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
buger/goreplay,1,1,0,1,1,1,1,1,0,14945,14945,1504,84,buger/goreplay,129.0,18100.0,30.0,96.0,1286.0,226.0,438.0,664.0,18.0,366.0,384.0,0.0,132.0,460.0,109.0,109.0,121.0,109.0,121.0,1
stretchr/testify,0,0,0,1,1,1,1,1,0,14904,14904,1161,85,stretchr/testify,223.0,0.0,2.0,0.0,780.0,218.0,371.0,589.0,106.0,463.0,569.0,2.0,81.0,457.0,107.0,108.0,111.0,108.0,130.0,1
fyne-io/fyne,0,1,0,1,1,0,1,0,0,14738,14738,795,86,fyne-io/fyne,125.0,0.0,2.0,0.0,6199.0,333.0,1300.0,1633.0,14.0,1171.0,1185.0,5.0,128.0,464.0,112.0,107.0,100.0,107.0,150.0,1
jaegertracing/jaeger,1,1,0,1,1,1,1,1,0,14722,14722,1768,87,jaegertracing/jaeger,261.0,15423.0,30.0,144.0,1633.0,321.0,1164.0,1485.0,15.0,1836.0,1851.0,4.0,83.0,502.0,124.0,106.0,131.0,106.0,159.0,1
grafana/k6,1,1,0,1,0,0,1,1,0,14686,14686,756,88,grafana/k6,137.0,22202.0,30.0,208.0,4464.0,322.0,947.0,1269.0,35.0,1096.0,1131.0,4.0,118.0,458.0,108.0,105.0,99.0,105.0,149.0,1
hoanhan101/ultimate-go,0,1,0,0,0,0,1,0,0,14642,14642,1155,89,hoanhan101/ultimate-go,29.0,0.0,2.0,0.0,247.0,0.0,14.0,14.0,0.0,38.0,38.0,0.0,116.0,412.0,96.0,104.0,110.0,104.0,94.0,0
grafana/loki,1,1,0,1,0,1,1,1,0,14391,14391,1696,90,grafana/loki,524.0,11906.0,22.0,518.0,3192.0,438.0,2019.0,2457.0,66.0,3041.0,3107.0,0.0,104.0,498.0,123.0,103.0,128.0,103.0,164.0,1
derailed/k9s,0,1,0,1,0,1,1,1,1,14380,14380,882,91,derailed/k9s,153.0,5962.0,30.0,289.0,1281.0,237.0,871.0,1108.0,28.0,353.0,381.0,27.0,173.0,425.0,98.0,102.0,101.0,102.0,120.0,0
uber-go/zap,1,1,0,1,1,0,1,1,0,14247,14247,1055,92,uber-go/zap,105.0,0.0,30.0,0.0,532.0,81.0,448.0,529.0,17.0,516.0,533.0,1.0,45.0,437.0,100.0,101.0,107.0,101.0,128.0,1
cayleygraph/cayley,0,1,0,1,0,1,1,0,0,13999,13999,1264,93,cayleygraph/cayley,116.0,1226.0,15.0,123.0,1752.0,80.0,397.0,477.0,7.0,475.0,482.0,5.0,60.0,441.0,102.0,100.0,115.0,100.0,126.0,1
filebrowser/filebrowser,0,1,0,1,0,0,1,1,0,13720,13720,1748,94,filebrowser/filebrowser,121.0,4196.0,30.0,538.0,2284.0,136.0,1091.0,1227.0,19.0,411.0,430.0,4.0,61.0,450.0,104.0,99.0,129.0,99.0,123.0,1
kubernetes/kops,0,1,0,1,0,0,1,1,0,13563,13563,4196,95,kubernetes/kops,904.0,4633.0,30.0,748.0,16749.0,149.0,4400.0,4549.0,40.0,8712.0,8752.0,0.0,123.0,545.0,136.0,98.0,169.0,98.0,180.0,1
julienschmidt/httprouter,0,1,0,1,0,0,1,0,0,13455,13455,1289,96,julienschmidt/httprouter,47.0,0.0,4.0,0.0,285.0,51.0,168.0,219.0,16.0,99.0,115.0,5.0,73.0,413.0,97.0,97.0,116.0,97.0,103.0,0
hashicorp/packer,0,1,0,1,1,0,1,1,0,13314,13314,3175,97,hashicorp/packer,1463.0,0.0,30.0,30.0,17817.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,349.0,93.0,96.0,156.0,96.0,1.0,0
chrislusf/seaweedfs,1,1,0,1,0,1,1,0,0,13273,13273,1638,98,chrislusf/seaweedfs,208.0,179.0,30.0,567.0,7190.0,61.0,1787.0,1848.0,6.0,644.0,650.0,0.0,191.0,449.0,103.0,95.0,125.0,95.0,134.0,1
