fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
GoogleChrome/lighthouse,1,1,0,1,0,0,1,1,0,23828,23828,8261,73,GoogleChrome/lighthouse,334.0,0.0,30.0,0.0,5124.0,490.0,7673.0,8163.0,56.0,4750.0,4806.0,0.0,277.0,572.0,148.0,116.0,164.0,116.0,176.0,1
goabstract/Awesome-Design-Tools,1,1,0,1,1,0,1,1,0,23707,23707,1788,74,goabstract/Awesome-Design-Tools,241.0,0.0,0.0,0.0,1649.0,1.0,25.0,26.0,53.0,306.0,359.0,0.0,867.0,443.0,101.0,115.0,102.0,115.0,111.0,1
Automattic/mongoose,1,1,0,1,1,1,1,1,0,23547,23547,3289,75,Automattic/mongoose,784.0,0.0,21.0,0.0,15718.0,326.0,8925.0,9251.0,15.0,2097.0,2112.0,8.0,160.0,520.0,126.0,114.0,130.0,114.0,162.0,1
SortableJS/Sortable,1,1,0,1,1,1,1,1,1,23508,23508,3354,76,SortableJS/Sortable,178.0,0.0,23.0,0.0,1074.0,348.0,1262.0,1610.0,14.0,450.0,464.0,11.0,207.0,473.0,113.0,113.0,131.0,113.0,116.0,1
parallax/jsPDF,1,1,0,1,0,1,1,1,0,23228,23228,4159,77,parallax/jsPDF,208.0,0.0,30.0,0.0,2266.0,100.0,2084.0,2184.0,11.0,1184.0,1195.0,1.0,53.0,510.0,123.0,112.0,137.0,112.0,149.0,1
bvaughn/react-virtualized,1,1,0,1,1,1,1,1,0,22874,22874,2848,78,bvaughn/react-virtualized,223.0,0.0,4.0,0.0,1985.0,387.0,709.0,1096.0,60.0,547.0,607.0,1.0,94.0,464.0,108.0,111.0,119.0,111.0,123.0,1
pcottle/learnGitBranching,0,1,0,1,0,0,1,1,0,22870,22870,5024,79,pcottle/learnGitBranching,265.0,0.0,0.0,0.0,2646.0,10.0,382.0,392.0,2.0,535.0,537.0,15.0,119.0,481.0,115.0,110.0,142.0,110.0,119.0,1
OAI/OpenAPI-Specification,0,1,0,1,1,1,1,0,0,22528,22528,7928,80,OAI/OpenAPI-Specification,218.0,0.0,10.0,0.0,1927.0,488.0,1324.0,1812.0,40.0,924.0,964.0,60.0,144.0,518.0,124.0,109.0,161.0,109.0,139.0,1
ccxt/ccxt,1,1,0,1,0,1,1,1,0,22322,22322,5478,81,ccxt/ccxt,654.0,0.0,0.0,0.0,50063.0,518.0,6145.0,6663.0,164.0,5340.0,5504.0,0.0,7061.0,540.0,133.0,108.0,146.0,108.0,178.0,1
Binaryify/NeteaseCloudMusicApi,1,0,0,1,1,1,1,0,0,22139,22139,6410,82,Binaryify/NeteaseCloudMusicApi,75.0,0.0,30.0,0.0,1144.0,92.0,1032.0,1124.0,14.0,324.0,338.0,55.0,139.0,477.0,114.0,107.0,153.0,107.0,110.0,1
balderdashy/sails,1,1,0,1,0,1,1,1,0,22111,22111,1934,83,balderdashy/sails,294.0,0.0,30.0,0.0,7143.0,456.0,5835.0,6291.0,64.0,831.0,895.0,1.0,249.0,451.0,103.0,106.0,104.0,106.0,135.0,1
pure-css/pure,0,1,0,1,0,1,1,1,0,22059,22059,2405,84,pure-css/pure,71.0,42833.0,24.0,11.0,719.0,0.0,562.0,562.0,0.0,367.0,367.0,5.0,82.0,436.0,97.0,105.0,113.0,105.0,113.0,0
redux-saga/redux-saga,1,1,0,1,0,1,1,0,0,21957,21957,1986,85,redux-saga/redux-saga,353.0,0.0,30.0,0.0,1902.0,38.0,1392.0,1430.0,13.0,790.0,803.0,4.0,137.0,447.0,102.0,104.0,107.0,104.0,132.0,1
immerjs/immer,0,0,0,1,0,1,1,1,0,21681,21681,672,87,immerjs/immer,159.0,0.0,30.0,0.0,1242.0,21.0,531.0,552.0,14.0,348.0,362.0,23.0,177.0,409.0,94.0,103.0,91.0,103.0,112.0,0
Tencent/wepy,1,1,0,1,0,0,1,1,0,21625,21625,3047,88,Tencent/wepy,191.0,0.0,8.0,0.0,2381.0,346.0,1783.0,2129.0,34.0,609.0,643.0,0.0,137.0,453.0,104.0,102.0,124.0,102.0,125.0,1
ramda/ramda,1,1,0,1,0,1,1,0,0,21444,21444,1366,89,ramda/ramda,344.0,0.0,26.0,0.0,2963.0,120.0,1428.0,1548.0,22.0,1662.0,1684.0,7.0,134.0,455.0,105.0,101.0,97.0,101.0,156.0,1
fastify/fastify,1,1,0,1,1,1,1,1,0,21343,21343,1577,90,fastify/fastify,497.0,0.0,30.0,0.0,3154.0,50.0,1303.0,1353.0,9.0,2236.0,2245.0,14.0,198.0,462.0,106.0,100.0,98.0,100.0,164.0,1
swagger-api/swagger-ui,1,1,0,1,1,0,1,1,0,21213,21213,8131,91,swagger-api/swagger-ui,527.0,0.0,30.0,0.0,5360.0,677.0,4064.0,4741.0,51.0,2978.0,3029.0,1.0,321.0,532.0,130.0,99.0,163.0,99.0,171.0,1
facebook/draft-js,0,1,0,1,0,1,1,1,0,21107,21107,2481,92,facebook/draft-js,338.0,0.0,26.0,0.0,1147.0,764.0,964.0,1728.0,166.0,1179.0,1345.0,4.0,30.0,462.0,106.0,98.0,115.0,98.0,151.0,1
bevacqua/dragula,0,1,0,1,0,1,1,1,1,20997,20997,1961,93,bevacqua/dragula,44.0,0.0,0.0,0.0,366.0,98.0,406.0,504.0,51.0,134.0,185.0,2.0,85.0,397.0,92.0,97.0,106.0,97.0,97.0,0
feathericons/feather,1,1,0,1,0,1,1,1,0,20975,20975,1007,94,feathericons/feather,40.0,0.0,30.0,0.0,634.0,339.0,221.0,560.0,113.0,450.0,563.0,1.0,72.0,408.0,93.0,96.0,94.0,96.0,122.0,0
mochajs/mocha,0,1,0,0,0,1,1,0,0,20949,20949,2903,95,mochajs/mocha,556.0,0.0,30.0,0.0,3558.0,225.0,2568.0,2793.0,38.0,1939.0,1977.0,7.0,37.0,470.0,111.0,95.0,121.0,95.0,159.0,1
rollup/rollup,1,1,0,1,0,1,1,1,0,20928,20928,1079,96,rollup/rollup,317.0,0.0,30.0,0.0,4858.0,362.0,2392.0,2754.0,21.0,1645.0,1666.0,1.0,67.0,438.0,100.0,94.0,95.0,94.0,155.0,1
sampotts/plyr,1,1,0,1,0,1,1,1,0,20806,20806,2507,97,sampotts/plyr,185.0,0.0,30.0,0.0,2205.0,702.0,1143.0,1845.0,32.0,462.0,494.0,8.0,28.0,420.0,95.0,93.0,116.0,93.0,118.0,0
paularmstrong/normalizr,1,1,0,1,0,1,1,0,0,20686,20686,844,98,paularmstrong/normalizr,72.0,147.0,25.0,54.0,454.0,22.0,279.0,301.0,16.0,173.0,189.0,3.0,21.0,374.0,91.0,92.0,92.0,92.0,98.0,0
fabricjs/fabric.js,0,1,0,1,0,1,1,0,0,20580,20580,2912,99,fabricjs/fabric.js,289.0,0.0,30.0,0.0,4390.0,247.0,5104.0,5351.0,36.0,2039.0,2075.0,2.0,157.0,464.0,108.0,91.0,122.0,91.0,160.0,1
Polyfiller/polyfiller,1,1,0,1,0,1,1,1,0,99,99,5,198,Polyfiller/polyfiller,1.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,204.0,56.0,90.0,23.0,90.0,1.0,0
philipshurpik/react-native-animated-tabs,1,0,0,1,0,0,1,0,0,98,98,14,197,philipshurpik/react-native-animated-tabs,1.0,0.0,0.0,0.0,34.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,241.0,75.0,89.0,62.0,89.0,1.0,0
