fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
alexreisner/geocoder,1,1,0,1,1,1,1,0,0,5977,5977,1152,75,alexreisner/geocoder,388.0,0.0,2.0,0.0,2307.0,31.0,842.0,873.0,4.0,664.0,668.0,3.0,286.0,497.0,124.0,114.0,134.0,114.0,135.0,1
progit/progit,0,0,0,0,0,0,1,0,0,5972,5972,2474,76,progit/progit,510.0,0.0,2.0,0.0,4500.0,0.0,0.0,0.0,0.0,771.0,771.0,0.0,13.0,526.0,134.0,113.0,159.0,113.0,141.0,1
bkeepers/dotenv,1,1,0,1,0,1,1,1,0,5968,5968,454,77,bkeepers/dotenv,112.0,27.0,7.0,2.0,610.0,7.0,183.0,190.0,6.0,244.0,250.0,0.0,76.0,430.0,101.0,112.0,100.0,112.0,106.0,1
ankane/chartkick,1,1,0,1,0,0,1,1,0,5896,5896,542,78,ankane/chartkick,28.0,0.0,2.0,0.0,484.0,8.0,483.0,491.0,0.0,95.0,95.0,1.0,179.0,425.0,100.0,111.0,108.0,111.0,95.0,1
freeCodeCamp/how-to-contribute-to-open-source,0,1,0,0,0,1,1,1,0,5893,5893,1296,79,freeCodeCamp/how-to-contribute-to-open-source,216.0,0.0,2.0,0.0,324.0,32.0,130.0,162.0,48.0,446.0,494.0,13.0,146.0,487.0,119.0,110.0,139.0,110.0,128.0,1
norman/friendly_id,0,1,0,1,0,1,1,1,0,5754,5754,583,80,norman/friendly_id,196.0,0.0,2.0,0.0,1592.0,8.0,649.0,657.0,1.0,322.0,323.0,2.0,107.0,439.0,104.0,109.0,110.0,109.0,111.0,1
ankane/searchkick,1,1,0,1,1,1,1,1,1,5749,5749,689,81,ankane/searchkick,118.0,0.0,2.0,0.0,2615.0,8.0,1214.0,1222.0,4.0,321.0,325.0,2.0,869.0,443.0,106.0,108.0,115.0,108.0,112.0,1
kkuchta/css-only-chat,0,1,0,1,0,0,1,1,0,5713,5713,267,82,kkuchta/css-only-chat,6.0,0.0,2.0,0.0,22.0,6.0,14.0,20.0,6.0,11.0,17.0,0.0,9.0,381.0,93.0,107.0,90.0,107.0,77.0,0
mislav/will_paginate,0,0,0,1,0,0,1,0,0,5618,5618,883,83,mislav/will_paginate,73.0,0.0,2.0,0.0,755.0,55.0,373.0,428.0,0.0,198.0,198.0,1.0,14.0,436.0,103.0,106.0,123.0,106.0,101.0,1
ddollar/foreman,1,1,0,1,0,1,1,1,0,5605,5605,614,84,ddollar/foreman,172.0,0.0,2.0,0.0,1106.0,44.0,385.0,429.0,16.0,334.0,350.0,1.0,35.0,439.0,104.0,105.0,113.0,105.0,116.0,1
