Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
magento/magento2,6,2,0,0,0,1,19,0,0,0.0,2884111,magento/magento2,https://github.com/magento/magento2,2011-11-30 15:30:13,PHP,,9797,8705,9797,1901,54,magento/magento2,2358.0,0.0,30.0,0.0,127065.0,1203.0,20417.0,21620.0,773.0,12510.0,13283.0,0.0,91.0,magento/magento2,2011-11-30 15:30:13,3782,0.0,0.6234796404019037,0.0,0.0079323109465891,33.59730301427816,0.0,33.60523532522475,0
php-fig/log,0,0,0,0,0,2,2,0,1,2.0,6936773,php-fig/log,https://github.com/php-fig/log,2012-11-30 09:49:24,PHP,,9751,162,9751,6,55,php-fig/log,29.0,0.0,8.0,0.0,93.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,3.0,php-fig/log,2012-11-30 09:49:24,3416,0.0,0.0084894613583138,0.0,0.0023419203747072,0.0272248243559718,0.0,0.029566744730679,1
w7corp/easywechat,7,9,0,0,0,6,15,1,1,2.0,29843361,w7corp/easywechat,https://github.com/w7corp/easywechat,2015-01-26 03:30:40,PHP,,9663,2310,9663,97,56,w7corp/easywechat,157.0,0.0,30.0,0.0,2003.0,4.0,1129.0,1133.0,1.0,1221.0,1222.0,0.0,91.0,w7corp/easywechat,2015-01-26 03:30:40,2629,0.0,0.0597185241536706,0.0,0.0114111829593001,0.7618866489159376,0.0,0.7732978318752377,0
walkor/Workerman,2,9,0,0,0,5,14,0,7,12.5,15020102,walkor/Workerman,https://github.com/walkor/Workerman,2013-12-08 07:49:28,PHP,,9579,2184,9579,5,57,walkor/Workerman,93.0,0.0,30.0,0.0,1558.0,18.0,451.0,469.0,4.0,235.0,239.0,0.0,118.0,walkor/Workerman,2013-12-08 07:49:28,3043,0.0,0.0305619454485704,0.0,0.009858692080184,0.5119947420308906,0.0,0.5218534341110745,0
php-fig/container,0,0,0,0,0,0,0,0,0,0.0,65755556,php-fig/container,https://github.com/php-fig/container,2016-08-15 18:35:30,PHP,,9334,37,9334,3,59,php-fig/container,33.0,0.0,7.0,0.0,185.0,4.0,15.0,19.0,0.0,23.0,23.0,0.0,82.0,php-fig/container,2016-08-15 18:35:30,2062,0.0,0.016003879728419,0.0,0.0033947623666343,0.0897187196896217,0.0,0.093113482056256,1
dingo/api,8,6,0,0,0,2,9,1,0,0.0,18673522,dingo/api,https://github.com/dingo/api,2014-04-11 12:31:18,PHP,,9245,1272,9245,191,60,dingo/api,120.0,0.0,30.0,0.0,1387.0,181.0,1180.0,1361.0,10.0,397.0,407.0,0.0,24.0,dingo/api,2014-04-11 12:31:18,2919,0.0,0.0411099691675231,0.0,0.0102774922918807,0.4751627269612881,0.0,0.48544021925316877,0
bobthecow/psysh,9,6,0,0,0,17,21,0,0,0.0,4549925,bobthecow/psysh,https://github.com/bobthecow/psysh,2012-06-04 17:15:35,PHP,,9157,277,9157,42,61,bobthecow/psysh,81.0,1387.0,30.0,119.0,1808.0,34.0,386.0,420.0,8.0,267.0,275.0,9.0,65.0,bobthecow/psysh,2012-06-04 17:15:35,3595,0.3858136300417246,0.0225312934631432,0.0331015299026425,0.0083449235048678,0.5029207232267038,3.966666666666667,4.477932313398238,0
squizlabs/PHP_CodeSniffer,11,4,0,0,0,7,10,1,14,2.0,2699935,squizlabs/PHP_CodeSniffer,https://github.com/squizlabs/PHP_CodeSniffer,2011-11-03 04:06:24,PHP,,8981,1405,8981,298,62,squizlabs/PHP_CodeSniffer,244.0,218461.0,30.0,104.0,7064.0,222.0,1877.0,2099.0,72.0,1343.0,1415.0,3.0,27.0,squizlabs/PHP_CodeSniffer,2011-11-03 04:06:24,3809,57.3538986610659,0.0640588080861118,0.0273037542662116,0.0078760829614071,1.8545550013126808,3.466666666666667,5.329097750940755,0
symfony/console,3,0,0,0,0,3,5,0,1,0.0,1398630,symfony/console,https://github.com/symfony/console,2011-02-22 18:00:31,PHP,,8971,224,8971,0,63,symfony/console,381.0,0.0,30.0,0.0,3510.0,0.0,0.0,0.0,1.0,77.0,78.0,0.0,18.0,symfony/console,2011-02-22 18:00:31,4063,0.0,0.0937730740831897,0.0,0.0073837066207236,0.8638936746246616,0.0,0.8712773812453852,0
doctrine/orm,2,0,0,0,0,0,2,0,0,0.0,597887,doctrine/orm,https://github.com/doctrine/orm,2010-04-06 21:42:59,PHP,,8941,2356,8941,1380,64,doctrine/orm,966.0,0.0,30.0,0.0,12499.0,1134.0,4666.0,5800.0,271.0,3369.0,3640.0,0.0,20.0,doctrine/orm,2010-04-06 21:42:59,4385,0.0,0.2202964652223489,0.0,0.0068415051311288,2.850399087799316,0.0,2.857240592930445,0
