Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
webtorrent/webtorrent,31,10,1,1,0,12,40,0,11,15.0,13584262,webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,2013-10-15 08:16:40,JavaScript,,25470,2471,25470,119,63,webtorrent/webtorrent,189.0,0.0,30.0,0.0,3088.0,99.0,1392.0,1491.0,7.0,704.0,711.0,0.0,298.0,webtorrent/webtorrent,2013-10-15 08:16:40,3097,0.0,0.0610268001291572,0.0,0.0096867936712948,0.9970939618986115,0.0,1.0067807555699064,1
sentsin/layui,0,7,0,0,0,0,10,0,0,3.0,42920477,sentsin/layui,https://github.com/sentsin/layui,2015-09-22 08:12:03,JavaScript,,25412,6849,25412,738,64,sentsin/layui,20.0,2664.0,30.0,8.0,335.0,633.0,125.0,758.0,115.0,100.0,215.0,0.0,49.0,sentsin/layui,2015-09-22 08:12:03,2390,1.114644351464435,0.00836820083682,0.003347280334728,0.0125523012552301,0.1401673640167364,0.2666666666666666,0.4193863319386331,1
sequelize/sequelize,14,7,0,0,0,13,27,0,0,1.0,790359,sequelize/sequelize,https://github.com/sequelize/sequelize,2010-07-22 07:11:11,JavaScript,,25349,3899,25349,944,66,sequelize/sequelize,1181.0,0.0,30.0,0.0,9210.0,787.0,8829.0,9616.0,54.0,4403.0,4457.0,4.0,214.0,sequelize/sequelize,2010-07-22 07:11:11,4278,0.0,0.2760635811126695,0.0,0.0070126227208976,2.152875175315568,0.0,2.1598877980364657,1
naptha/tesseract.js,21,25,2,1,0,8,30,0,4,6.0,37958358,naptha/tesseract.js,https://github.com/naptha/tesseract.js,2015-06-24 02:49:52,JavaScript,,25178,1716,25178,110,67,naptha/tesseract.js,59.0,0.0,30.0,0.0,627.0,105.0,373.0,478.0,19.0,97.0,116.0,0.0,182.0,naptha/tesseract.js,2015-06-24 02:49:52,2480,0.0,0.0237903225806451,0.0,0.0120967741935483,0.2528225806451613,0.0,0.2649193548387096,1
select2/select2,28,15,0,0,0,2,16,0,6,0.0,3620194,select2/select2,https://github.com/select2/select2,2012-03-04 18:43:12,JavaScript,,25166,6266,25166,69,68,select2/select2,551.0,0.0,29.0,0.0,2635.0,64.0,4622.0,4686.0,12.0,1436.0,1448.0,4.0,67.0,select2/select2,2012-03-04 18:43:12,3687,0.0,0.1494439924057499,0.0,0.0078654732845131,0.7146731760238676,0.0,0.7225386493083807,1
github/fetch,27,0,0,0,0,3,9,1,29,15.0,25136308,github/fetch,https://github.com/github/fetch,2014-10-13 00:26:19,JavaScript,,25095,3096,25095,17,69,github/fetch,76.0,11658017.0,30.0,5.0,654.0,15.0,570.0,585.0,2.0,286.0,288.0,10.0,77.0,github/fetch,2014-10-13 00:26:19,2734,4264.088149231895,0.0277980980248719,0.0018288222384784,0.0109729334308705,0.2392099487929773,0.1666666666666666,0.4168495488905144,1
typicode/husky,0,0,0,0,0,0,0,0,2,4.0,21125024,typicode/husky,https://github.com/typicode/husky,2014-06-23 12:14:21,JavaScript,,24920,875,24920,38,70,typicode/husky,91.0,0.0,30.0,0.0,814.0,10.0,800.0,810.0,3.0,295.0,298.0,0.0,193.0,typicode/husky,2014-06-23 12:14:21,2846,0.0,0.0319747013352073,0.0,0.0105411103302881,0.286015460295151,0.0,0.2965565706254391,1
codemirror/CodeMirror,0,2,0,0,0,2,7,0,2,0.0,1254497,codemirror/CodeMirror,https://github.com/codemirror/CodeMirror,2011-01-14 13:44:03,JavaScript,,23970,4779,23970,436,72,codemirror/CodeMirror,982.0,0.0,30.0,0.0,7048.0,415.0,3640.0,4055.0,25.0,2763.0,2788.0,1.0,29.0,codemirror/CodeMirror,2011-01-14 13:44:03,4102,0.0,0.2393954168698196,0.0,0.0073135056070209,1.7181862506094587,0.0,1.7254997562164796,1
GoogleChrome/lighthouse,91,6,0,0,0,33,70,0,20,7.0,53370988,GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,2016-03-08 01:03:11,JavaScript,,23828,8261,23828,591,73,GoogleChrome/lighthouse,334.0,0.0,30.0,0.0,5124.0,490.0,7673.0,8163.0,56.0,4750.0,4806.0,0.0,277.0,GoogleChrome/lighthouse,2016-03-08 01:03:11,2222,0.0,0.1503150315031503,0.0,0.0135013501350135,2.306030603060306,0.0,2.3195319531953196,1
Automattic/mongoose,24,4,0,0,0,8,42,0,24,19.0,597879,Automattic/mongoose,https://github.com/Automattic/mongoose,2010-04-06 21:39:05,JavaScript,,23547,3289,23547,332,75,Automattic/mongoose,784.0,0.0,21.0,0.0,15718.0,326.0,8925.0,9251.0,15.0,2097.0,2112.0,8.0,160.0,Automattic/mongoose,2010-04-06 21:39:05,4385,0.0,0.1787913340935005,0.0,0.0047890535917901,3.584492588369441,0.0,3.5892816419612315,1
