Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
haoel/leetcode,0,0,0,1,0,0,558,0,0,0.0,25449064,haoel/leetcode,https://github.com/haoel/leetcode,2014-10-20 03:22:04,C++,,15480,4565,15480,25,54,haoel/leetcode,59.0,0.0,2.0,0.0,787.0,20.0,36.0,56.0,11.0,200.0,211.0,0.0,437.0,567.0,144.0,141.0,168.0,141.0,117.0,1
facebookresearch/faiss,12,0,0,0,0,6,11,1,1,1.0,81227005,facebookresearch/faiss,https://github.com/facebookresearch/faiss,2017-02-07 16:07:05,C++,,15295,2415,15295,225,55,facebookresearch/faiss,97.0,0.0,2.0,0.0,599.0,189.0,1547.0,1736.0,9.0,456.0,465.0,0.0,44.0,539.0,134.0,140.0,133.0,140.0,126.0,1
flameshot-org/flameshot,97,1,1,0,0,17,44,2,23,22.0,90902132,flameshot-org/flameshot,https://github.com/flameshot-org/flameshot,2017-05-10 19:44:51,C++,,15292,958,15292,328,56,flameshot-org/flameshot,202.0,38599.0,22.0,319.0,1675.0,304.0,1310.0,1614.0,10.0,794.0,804.0,2.0,155.0,526.0,128.0,139.0,106.0,139.0,142.0,1
trojan-gfw/trojan,4,1,0,0,0,1,7,0,1,0.0,107794782,trojan-gfw/trojan,https://github.com/trojan-gfw/trojan,2017-10-21 16:07:42,C++,,15192,2706,15192,19,57,trojan-gfw/trojan,23.0,916590.0,30.0,146.0,466.0,26.0,509.0,535.0,3.0,74.0,77.0,1.0,29.0,519.0,125.0,138.0,137.0,138.0,106.0,1
simdjson/simdjson,46,9,0,0,0,23,36,7,4,3.0,126412363,simdjson/simdjson,https://github.com/simdjson/simdjson,2018-03-23 00:49:18,C++,,15074,772,15074,116,58,simdjson/simdjson,101.0,389.0,29.0,6.0,2358.0,118.0,556.0,674.0,4.0,1069.0,1073.0,0.0,264.0,522.0,126.0,137.0,101.0,137.0,147.0,1
google/mediapipe,31,5,2,1,0,3,61,0,1,0.0,191820100,google/mediapipe,https://github.com/google/mediapipe,2019-06-13 19:16:41,C++,,14930,3071,14930,333,59,google/mediapipe,3.0,0.0,2.0,0.0,112.0,292.0,2696.0,2988.0,50.0,116.0,166.0,0.0,43.0,529.0,129.0,136.0,145.0,136.0,112.0,1
zhongyang219/TrafficMonitor,6,11,0,0,0,10,13,0,5,0.0,98771110,zhongyang219/TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor,2017-07-30 02:51:17,C++,,14837,1699,14837,412,60,zhongyang219/TrafficMonitor,19.0,705409.0,22.0,45.0,782.0,517.0,510.0,1027.0,2.0,30.0,32.0,0.0,36.0,486.0,111.0,135.0,119.0,135.0,97.0,1
facebook/yoga,9,1,0,0,0,1,5,0,13,4.0,18503721,facebook/yoga,https://github.com/facebook/yoga,2014-04-07 01:37:37,C++,,14815,1243,14815,320,61,facebook/yoga,254.0,0.0,2.0,0.0,2038.0,233.0,273.0,506.0,104.0,504.0,608.0,2.0,72.0,513.0,122.0,134.0,112.0,134.0,133.0,1
notepad-plus-plus/notepad-plus-plus,7,3,0,0,0,1,5,0,0,0.0,33014811,notepad-plus-plus/notepad-plus-plus,https://github.com/notepad-plus-plus/notepad-plus-plus,2015-03-28 00:05:08,C++,,14691,3386,14691,1521,62,notepad-plus-plus/notepad-plus-plus,351.0,410290.0,30.0,536.0,4529.0,1558.0,6125.0,7683.0,6.0,2681.0,2687.0,2.0,33.0,585.0,147.0,133.0,153.0,133.0,166.0,1
aseprite/aseprite,37,3,0,0,0,9,50,0,0,0.0,23129458,aseprite/aseprite,https://github.com/aseprite/aseprite,2014-08-19 23:44:50,C++,,14658,1312,14658,1155,63,aseprite/aseprite,75.0,132672.0,30.0,30.0,7655.0,1174.0,1648.0,2822.0,17.0,329.0,346.0,4.0,73.0,500.0,117.0,132.0,113.0,132.0,123.0,1
