Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
react-navigation/react-navigation,6,9,0,0,0,2,12,0,7,3.0,80149262,react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,TypeScript,,20602,4465,20602,479,59,react-navigation/react-navigation,142.0,0.0,2.0,0.0,1756.0,454.0,8058.0,8512.0,38.0,1454.0,1492.0,2.0,41.0,589.0,154.0,139.0,169.0,139.0,142.0,1
conwnet/github1s,26,10,1,0,0,26,33,2,8,7.0,192175095,conwnet/github1s,https://github.com/conwnet/github1s,2019-06-16 09:55:25,TypeScript,,20433,674,20433,50,60,conwnet/github1s,40.0,0.0,2.0,0.0,295.0,49.0,123.0,172.0,0.0,215.0,215.0,0.0,45.0,484.0,113.0,138.0,104.0,138.0,104.0,1
vercel/swr,18,1,0,0,0,2,14,0,9,1.0,218115303,vercel/swr,https://github.com/vercel/swr,2019-10-28 18:16:01,TypeScript,,20142,751,20142,56,61,vercel/swr,138.0,0.0,2.0,0.0,593.0,56.0,514.0,570.0,14.0,608.0,622.0,5.0,49.0,504.0,124.0,137.0,107.0,137.0,123.0,1
railsware/upterm,4,11,0,0,0,6,13,0,3,3.0,32665718,railsware/upterm,https://github.com/railsware/upterm,2015-03-22 07:00:24,TypeScript,,19450,655,19450,220,62,railsware/upterm,77.0,40721.0,30.0,83.0,2998.0,219.0,533.0,752.0,1.0,565.0,566.0,1.0,78.0,496.0,118.0,136.0,102.0,136.0,122.0,1
n8n-io/n8n,5,2,0,0,0,5,15,0,1,0.0,193215554,n8n-io/n8n,https://github.com/n8n-io/n8n,2019-06-22 09:24:21,TypeScript,,19092,1934,19092,160,63,n8n-io/n8n,223.0,0.0,2.0,0.0,5514.0,60.0,506.0,566.0,181.0,2208.0,2389.0,1.0,32.0,567.0,142.0,135.0,140.0,135.0,157.0,1
felixrieseberg/windows95,10,1,0,1,0,17,19,0,4,1.0,145803079,felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,2018-08-23 05:04:38,TypeScript,,19019,1158,19019,123,64,felixrieseberg/windows95,15.0,157691.0,12.0,102.0,172.0,114.0,95.0,209.0,12.0,35.0,47.0,1.0,43.0,470.0,110.0,134.0,117.0,134.0,85.0,1
homebridge/homebridge,20,8,1,0,0,18,26,2,8,6.0,27388642,homebridge/homebridge,https://github.com/homebridge/homebridge,2014-12-01 16:37:39,TypeScript,,18973,1846,18973,28,65,homebridge/homebridge,121.0,0.0,2.0,0.0,1421.0,15.0,2687.0,2702.0,3.0,361.0,364.0,4.0,108.0,511.0,125.0,133.0,134.0,133.0,111.0,1
notable/notable,10,2,0,1,0,9,28,2,0,0.0,162815665,notable/notable,https://github.com/notable/notable,2018-12-22 13:57:19,TypeScript,,18793,942,18793,580,66,notable/notable,21.0,6412.0,19.0,300.0,458.0,615.0,883.0,1498.0,1.0,73.0,74.0,4.0,28.0,467.0,109.0,132.0,112.0,132.0,91.0,1
youzan/vant,15,3,0,0,0,13,21,0,2,3.0,88717215,youzan/vant,https://github.com/youzan/vant,2017-04-19 07:55:31,TypeScript,,18783,9119,18783,24,67,youzan/vant,246.0,0.0,2.0,0.0,8657.0,26.0,5994.0,6020.0,4.0,4181.0,4185.0,0.0,134.0,623.0,163.0,131.0,185.0,131.0,176.0,1
electron-react-boilerplate/electron-react-boilerplate,7,63,0,0,0,7,73,1,1,3.0,35810174,electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,2015-05-18 09:54:57,TypeScript,,18663,3071,18663,66,68,electron-react-boilerplate/electron-react-boilerplate,130.0,11148.0,30.0,262.0,1044.0,30.0,1570.0,1600.0,4.0,1477.0,1481.0,3.0,148.0,560.0,138.0,130.0,159.0,130.0,141.0,1
marmelab/react-admin,24,5,0,0,0,10,24,2,15,9.0,63226588,marmelab/react-admin,https://github.com/marmelab/react-admin,2016-07-13 07:58:54,TypeScript,,18423,4045,18423,165,69,marmelab/react-admin,552.0,0.0,2.0,0.0,11320.0,86.0,3393.0,3479.0,27.0,3864.0,3891.0,4.0,132.0,598.0,156.0,129.0,165.0,129.0,175.0,1
reduxjs/reselect,43,0,0,0,0,8,12,0,41,26.0,38366638,reduxjs/reselect,https://github.com/reduxjs/reselect,2015-07-01 11:06:45,TypeScript,,18364,668,18364,14,70,reduxjs/reselect,103.0,0.0,2.0,0.0,705.0,14.0,347.0,361.0,5.0,193.0,198.0,3.0,198.0,462.0,108.0,128.0,103.0,128.0,103.0,1
