fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
BetterErrors/better_errors,0,1,0,1,0,0,1,1,0,6743,6743,445,61,BetterErrors/better_errors,97.0,24.0,30.0,4.0,730.0,39.0,239.0,278.0,14.0,210.0,224.0,3.0,75.0,BetterErrors/better_errors,2012-12-08 11:02:18,3408,0.0070422535211267,0.0284624413145539,0.0011737089201877,0.0088028169014084,0.2142018779342723,0.1333333333333333,0
github-changelog-generator/github-changelog-generator,0,1,0,1,1,1,1,1,0,6622,6622,826,62,github-changelog-generator/github-changelog-generator,109.0,0.0,2.0,0.0,1792.0,136.0,264.0,400.0,3.0,460.0,463.0,3.0,159.0,github-changelog-generator/github-changelog-generator,2014-10-31 14:06:48,2716,0.0,0.0401325478645066,0.0,0.0007363770250368,0.6597938144329897,0.0,0
puppetlabs/puppet,1,0,0,1,1,1,1,1,0,6387,6387,2213,63,puppetlabs/puppet,916.0,0.0,2.0,0.0,34042.0,0.0,0.0,0.0,27.0,8810.0,8837.0,0.0,60.0,puppetlabs/puppet,2010-09-14 19:26:44,4224,0.0,0.2168560606060606,0.0,0.0004734848484848,8.059185606060606,0.0,0
flyerhzm/bullet,1,1,0,1,1,1,1,0,0,6384,6384,373,64,flyerhzm/bullet,156.0,0.0,2.0,0.0,1291.0,84.0,239.0,323.0,22.0,269.0,291.0,4.0,80.0,flyerhzm/bullet,2009-08-13 15:47:31,4621,0.0,0.0337589266392555,0.0,0.0004328067517853,0.2793767582774291,0.0,0
chyingp/nodejs-learning-guide,1,0,0,0,0,0,0,0,0,6371,6371,1130,65,chyingp/nodejs-learning-guide,7.0,0.0,2.0,0.0,400.0,2.0,11.0,13.0,6.0,6.0,12.0,0.0,46.0,chyingp/nodejs-learning-guide,2016-11-03 14:35:28,1982,0.0,0.003531786074672,0.0,0.0010090817356205,0.201816347124117,0.0,1
pry/pry,0,1,0,1,1,1,1,0,0,6338,6338,587,66,pry/pry,220.0,0.0,2.0,0.0,4354.0,151.0,1270.0,1421.0,15.0,781.0,796.0,0.0,51.0,pry/pry,2010-12-07 08:10:47,4140,0.0,0.0531400966183574,0.0,0.0004830917874396,1.0516908212560387,0.0,0
ryanb/cancan,0,0,0,1,0,0,1,0,0,6319,6319,812,67,ryanb/cancan,70.0,0.0,2.0,0.0,420.0,200.0,651.0,851.0,45.0,159.0,204.0,12.0,55.0,ryanb/cancan,2009-11-17 01:04:45,4525,0.0,0.0154696132596685,0.0,0.0004419889502762,0.092817679558011,0.0,0
github/scientist,1,1,0,1,0,1,0,0,0,6291,6291,456,68,github/scientist,57.0,0.0,2.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,github/scientist,2014-02-05 15:58:43,2984,0.0,0.0191018766756032,0.0,0.0006702412868632,0.0727211796246648,0.0,0
presidentbeef/brakeman,1,1,0,1,0,1,1,0,0,6270,6270,678,69,presidentbeef/brakeman,153.0,0.0,2.0,0.0,3790.0,81.0,609.0,690.0,5.0,990.0,995.0,2.0,80.0,presidentbeef/brakeman,2010-08-27 00:00:58,4242,0.0,0.036067892503536,0.0,0.0004714757190004,0.8934464875058934,0.0,0
wpscanteam/wpscan,1,1,0,1,1,1,1,1,1,6221,6221,1062,70,wpscanteam/wpscan,59.0,0.0,2.0,0.0,3150.0,28.0,1321.0,1349.0,4.0,335.0,339.0,5.0,221.0,wpscanteam/wpscan,2012-07-11 20:27:47,3558,0.0,0.0165823496346261,0.0,0.0005621135469364,0.8853288364249579,0.0,0
