fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
upx/upx,0,1,0,1,1,1,1,0,0,8399,8399,918,90,upx/upx,upx/upx,1,0,1,20,729580,7,85,3551,126,364,490,0,43,2016-08-31 11:23:13,2046,356.5884652981427,0.0097751710654936,0.0415444770283479,0.0034213098729227,1.7355816226783969,12.142857142857142,1
glfw/glfw,1,1,0,1,1,1,1,1,0,8360,8360,3228,65,glfw/glfw,glfw/glfw,57,473,530,185,422650,17,58,4424,422,1080,1502,26,708,2013-04-18 15:24:53,3277,128.97467195605736,0.0564540738480317,0.0176991150442477,0.0051876716509002,1.3500152578577969,3.411764705882353,0
davatorium/rofi,0,1,0,1,0,1,1,0,1,8325,8325,437,95,davatorium/rofi,davatorium/rofi,11,297,308,134,34480,30,61,3615,52,1056,1108,3,98,2013-01-20 11:54:45,3365,10.24665676077266,0.0398216939078751,0.0181277860326894,0.0089153046062407,1.074294205052006,2.033333333333333,0
libgit2/libgit2,1,1,0,1,1,1,1,1,0,8179,8179,2153,83,libgit2/libgit2,libgit2/libgit2,113,4150,4263,550,66497,30,10,14483,328,1536,1864,0,159,2010-09-10 16:17:48,4228,15.727767265846737,0.130085146641438,0.0023651844843897,0.0070955534531693,3.4254966887417218,0.3333333333333333,0
libevent/libevent,0,0,0,1,0,0,1,0,0,8177,8177,2921,75,libevent/libevent,libevent/libevent,0,468,468,273,3041140,18,14,4613,119,649,768,3,38,2011-06-06 21:42:50,3959,768.1586259156353,0.0689568072745642,0.0035362465269007,0.0045466026774437,1.165193230613791,0.7777777777777778,0
raysan5/raylib,0,1,0,1,0,1,1,0,0,8084,8084,959,93,raysan5/raylib,raysan5/raylib,1,1074,1075,338,7181,19,89,5670,10,1126,1136,0,144,2013-10-24 15:46:04,3088,2.325453367875648,0.1094559585492228,0.028821243523316,0.0061528497409326,1.836139896373057,4.684210526315789,0
lvgl/lvgl,1,1,0,1,0,0,1,1,0,8047,8047,1599,89,lvgl/lvgl,lvgl/lvgl,0,1209,1209,277,150,30,1,7829,35,1881,1916,1,171,2016-06-08 04:14:34,2130,0.0704225352112676,0.1300469483568075,0.0004694835680751,0.0140845070422535,3.675586854460094,0.0333333333333333,0
darlinghq/darling,0,0,0,1,0,0,1,0,0,7922,7922,328,98,darlinghq/darling,darlinghq/darling,2,165,167,67,9197,8,16,3690,205,734,939,3,36,2012-12-09 10:31:44,3407,2.6994423246257706,0.0196653947754622,0.0046962136777223,0.0023481068388611,1.0830642794247138,2.0,0
microsoft/react-native-code-push,0,1,0,1,1,0,1,0,0,7841,7841,1222,94,microsoft/react-native-code-push,microsoft/react-native-code-push,15,730,745,159,0,30,0,1733,43,1443,1486,6,421,2015-06-02 17:19:20,2502,0.0,0.0635491606714628,0.0,0.0119904076738609,0.6926458832933653,0.0,0
antirez/disque,1,1,0,1,0,1,1,0,0,7823,7823,547,99,antirez/disque,antirez/disque,18,91,109,59,0,1,0,602,41,65,106,4,133,2015-04-27 16:06:09,2538,0.0,0.0232466509062253,0.0,0.0003940110323089,0.2371946414499606,0.0,0
borgbackup/borg,0,1,0,0,1,1,1,0,0,7752,7752,595,97,borgbackup/borg,borgbackup/borg,24,2999,3023,281,4636,30,360,6589,576,2766,3342,13,95,2015-05-12 23:10:47,2523,1.837495045580658,0.1113753468093539,0.1426872770511296,0.0118906064209274,2.611573523583036,12.0,0
cesanta/mongoose,0,1,0,1,0,0,1,1,0,7706,7706,2178,88,cesanta/mongoose,cesanta/mongoose,5,405,410,142,3798,30,9,3655,2,1055,1057,0,247,2012-08-14 15:09:51,3524,1.0777525539160044,0.0402951191827468,0.0025539160045402,0.0085130533484676,1.0371736662883086,0.3,0
espressif/arduino-esp32,0,1,0,0,1,1,1,1,0,7682,7682,4847,78,espressif/arduino-esp32,espressif/arduino-esp32,39,1588,1627,522,1421752,30,114,1678,357,4384,4741,1,45,2016-10-06 06:04:20,2010,707.3393034825871,0.2597014925373134,0.0567164179104477,0.0149253731343283,0.8348258706467662,3.8,0
DanieleDeSensi/peafowl,0,1,0,0,1,1,0,1,0,97,97,33,104,DanieleDeSensi/peafowl,DanieleDeSensi/peafowl,0,35,35,13,29,2,3,456,1,8,9,0,70,2013-04-05 10:56:18,3290,0.0088145896656534,0.003951367781155,0.0009118541033434,0.0006079027355623,0.1386018237082067,1.5,1
xiph/opusfile,0,0,0,0,0,1,1,0,0,96,96,47,101,xiph/opusfile,xiph/opusfile,3,10,13,26,16019,6,12,457,8,9,17,0,6,2014-12-18 07:15:34,2668,6.004122938530735,0.0097451274362818,0.0044977511244377,0.0022488755622188,0.1712893553223388,2.0,1
JUMA-IO/STM32_Platform,1,1,0,1,0,0,1,1,0,90,90,69,105,JUMA-IO/STM32_Platform,JUMA-IO/STM32_Platform,0,93,93,17,0,7,0,261,4,7,11,0,19,2016-01-13 03:49:37,2277,0.0,0.0074659639877031,0.0,0.0030742204655248,0.1146245059288537,0.0,1
dimitri/pgextwlist,1,0,0,1,0,1,0,0,0,86,86,31,111,dimitri/pgextwlist,dimitri/pgextwlist,2,23,25,17,0,4,0,102,4,17,21,4,13,2011-12-11 14:11:13,3771,0.0,0.0045080880403076,0.0,0.0010607265977194,0.0270485282418456,0.0,1
yubo/ip_vs_ca,1,1,0,1,1,0,1,0,0,84,84,26,116,yubo/ip_vs_ca,yubo/ip_vs_ca,0,0,0,3,48,3,7,32,3,11,14,0,20,2016-02-24 07:31:12,2235,0.021476510067114,0.0013422818791946,0.0031319910514541,0.0013422818791946,0.014317673378076,2.333333333333333,1
atnan/QLPrettyPatch,0,0,0,1,0,1,0,0,0,83,83,4,137,atnan/QLPrettyPatch,atnan/QLPrettyPatch,1,0,1,1,89326,1,1,11,0,0,0,0,5,2013-11-27 22:14:43,3054,29.248853962017023,0.0003274394237066,0.0003274394237066,0.0003274394237066,0.0036018336607727,1.0,1
Juniper/juise,1,0,0,1,0,1,0,0,0,50,50,14,154,Juniper/juise,Juniper/juise,0,12,12,14,1472,16,23,869,14,10,24,0,6,2013-05-23 14:16:22,3242,0.4540407156076496,0.0043183220234423,0.0070943861813695,0.0049352251696483,0.2680444170265268,1.4375,1
zephyrproject-rtos/meta-zephyr-sdk,0,0,0,1,0,0,1,0,0,45,45,28,143,zephyrproject-rtos/meta-zephyr-sdk,zephyrproject-rtos/meta-zephyr-sdk,0,35,35,9,45614,27,20,232,4,75,79,0,5,2016-06-14 20:38:26,2124,21.475517890772128,0.0042372881355932,0.0094161958568738,0.0127118644067796,0.1092278719397363,0.7407407407407407,1
ailispaw/docker-root-xhyve,1,1,0,1,0,0,1,0,0,42,42,4,168,ailispaw/docker-root-xhyve,ailispaw/docker-root-xhyve,0,0,0,1,568,9,9,89,2,9,11,0,60,2015-08-07 21:56:17,2436,0.2331691297208538,0.0004105090311986,0.0036945812807881,0.0036945812807881,0.036535303776683,1.0,1
WetDesertRock/GifCat,1,1,0,1,1,1,1,0,1,36,36,5,173,WetDesertRock/GifCat,WetDesertRock/GifCat,0,2,2,2,0,1,0,6,4,0,4,0,6,2016-06-26 17:20:00,2112,0.0,0.0009469696969696,0.0,0.0004734848484848,0.002840909090909,0.0,1
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,2015-12-11 15:02:09,2310,0.0,0.0073593073593073,0.0,0.0025974025974025,0.0922077922077922,0.0,1
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,2015-12-11 15:02:09,2310,0.0,0.0073593073593073,0.0,0.0025974025974025,0.0922077922077922,0.0,1
open-power/capiflash,0,1,0,1,0,0,0,0,0,23,23,12,175,open-power/capiflash,open-power/capiflash,0,16,16,7,0,11,0,98,3,6,9,0,15,2015-10-28 00:19:54,2354,0.0,0.0029736618521665,0.0,0.0046728971962616,0.0416312659303313,0.0,1
rebelbot/OptimizerLesson,0,0,1,0,0,0,0,0,0,7,7,5,190,rebelbot/OptimizerLesson,rebelbot/OptimizerLesson,0,2,2,2,0,2,0,7,0,0,0,0,1,2015-09-27 20:41:06,2385,0.0,0.00083857442348,0.0,0.00083857442348,0.0029350104821802,0.0,1
HomeBankCode/lena-its-tools,0,1,0,1,0,0,0,0,0,2,2,3,195,HomeBankCode/lena-its-tools,HomeBankCode/lena-its-tools,0,17,17,5,0,2,0,130,0,0,0,0,10,2015-05-11 04:12:46,2524,0.0,0.0019809825673534,0.0,0.0007923930269413,0.0515055467511885,0.0,1
