fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
cloudwu/skynet,0,1,0,1,1,0,1,0,0,10764,10764,3736,40,cloudwu/skynet,cloudwu/skynet,5,0,5,123,0,30,0,2083,12,810,822,0,39,498.0,119.0,135.0,162.0,135.0,66.0,1,cloudwu/skynet,2012-08-01 03:30:42,3503,0.035112760491007707,0.0,0.008564087924636025,0.5946331715672281,0.0,0.6031972594918641,498.0
octalmage/robotjs,1,1,0,1,1,1,1,0,0,10679,10679,788,60,octalmage/robotjs,octalmage/robotjs,24,0,24,60,1479,30,241,651,129,419,548,0,101,466.0,109.0,134.0,104.0,134.0,94.0,1,octalmage/robotjs,2014-08-31 14:13:47,2743,0.02187386073641998,0.08786000729128692,0.01093693036820999,0.23733138899015677,8.033333333333333,8.2816016526917,466.0
google/brotli,1,1,0,1,1,1,0,0,0,10622,10622,1015,56,google/brotli,google/brotli,10,0,10,91,8157,16,65,1042,69,257,326,3,35,448.0,99.0,133.0,110.0,133.0,72.0,0,google/brotli,2014-10-09 14:35:14,2704,0.03365384615384615,0.02403846153846154,0.005917159763313609,0.3853550295857988,4.0625,4.453772189349112,448.0
jonas/tig,0,1,0,1,0,1,1,1,0,10446,10446,579,69,jonas/tig,jonas/tig,23,431,454,186,78780,25,31,2732,162,559,721,1,15,505.0,125.0,132.0,95.0,132.0,146.0,1,jonas/tig,2009-03-01 20:39:25,4752,0.039141414141414144,0.006523569023569023,0.005260942760942761,0.5749158249158249,1.24,1.8201767676767677,505.0
skywind3000/kcp,1,1,0,0,1,1,0,1,0,10408,10408,2033,48,skywind3000/kcp,skywind3000/kcp,13,44,57,28,0,4,0,219,133,158,291,0,113,503.0,124.0,131.0,132.0,131.0,109.0,1,skywind3000/kcp,2014-12-26 16:46:34,2626,0.010662604722010662,0.0,0.0015232292460015233,0.0833968012185834,0.0,0.08492003046458492,503.0
reactos/reactos,1,1,0,1,0,1,1,1,0,10133,10133,1216,57,reactos/reactos,reactos/reactos,206,0,206,332,2035,8,11,81279,0,0,0,0,40,505.0,125.0,130.0,114.0,130.0,131.0,1,reactos/reactos,2017-10-03 08:04:52,1614,0.2057001239157373,0.006815365551425031,0.004956629491945477,50.358736059479554,1.375,51.7386926889715,505.0
andlabs/libui,0,1,0,1,1,0,1,1,1,10099,10099,604,70,andlabs/libui,andlabs/libui,82,94,176,41,2172,7,65,3957,172,191,363,6,152,486.0,115.0,129.0,99.0,129.0,129.0,1,andlabs/libui,2015-04-17 00:35:54,2514,0.016308671439936355,0.025855210819411296,0.0027844073190135244,1.5739856801909309,9.285714285714286,10.86248437322423,486.0
openwrt/openwrt,0,1,0,1,0,1,1,0,0,10087,10087,6506,42,openwrt/openwrt,openwrt/openwrt,263,4596,4859,1092,0,1,0,53530,1437,3083,4520,0,11,603.0,158.0,128.0,172.0,128.0,175.0,1,openwrt/openwrt,2015-11-09 07:13:55,2308,0.4731369150779896,0.0,0.0004332755632582322,23.193240901213173,0.0,23.19367417677643,603.0
openresty/openresty,0,1,0,1,0,1,1,1,0,10032,10032,1332,58,openresty/openresty,openresty/openresty,7,165,172,34,29931,13,18,1644,224,416,640,1,22,501.0,122.0,127.0,119.0,127.0,128.0,1,openresty/openresty,2010-01-20 03:57:59,4427,0.007680144567427152,0.0040659588886379034,0.0029365258640162636,0.3713575784955952,1.3846153846153846,1.758909488974996,501.0
woltapp/blurhash,0,1,0,1,0,0,1,1,0,9841,9841,220,80,woltapp/blurhash,woltapp/blurhash,60,54,114,41,0,0,0,252,38,13,51,2,41,459.0,104.0,126.0,89.0,126.0,118.0,1,woltapp/blurhash,2019-06-26 10:45:33,983,0.04170905391658189,0.0,0.0,0.25635808748728384,-1,-0.7436419125127162,459.0
swaywm/sway,0,0,0,1,0,1,1,0,0,9790,9790,829,71,swaywm/sway,swaywm/sway,103,0,103,471,7256,30,48,6887,550,3151,3701,2,153,471.0,111.0,125.0,105.0,125.0,116.0,1,swaywm/sway,2015-08-05 01:31:45,2404,0.1959234608985025,0.019966722129783693,0.012479201331114808,2.864808652246256,1.6,4.477287853577371,471.0
jedisct1/libsodium,1,1,0,1,0,1,1,1,0,9737,9737,1514,61,jedisct1/libsodium,jedisct1/libsodium,0,329,329,131,8440902,30,50,4039,2,763,765,0,136,513.0,135.0,124.0,122.0,124.0,143.0,1,jedisct1/libsodium,2013-01-20 00:03:40,3331,0.03932752927048934,0.015010507355148604,0.009006304413089163,1.2125487841489042,1.6666666666666667,2.88822175522866,513.0
h2o/h2o,0,1,0,0,0,1,1,1,0,9670,9670,758,77,h2o/h2o,h2o/h2o,86,1628,1714,148,0,30,0,10025,539,688,1227,1,94,514.0,136.0,122.0,103.0,122.0,167.0,1,h2o/h2o,2014-08-16 23:59:03,2758,0.05366207396664249,0.0,0.010877447425670777,3.6348803480783176,0.0,3.6457577955039886,514.0
openresty/lua-nginx-module,1,1,0,1,1,1,1,0,0,9670,9670,1901,55,openresty/lua-nginx-module,openresty/lua-nginx-module,61,0,61,144,0,0,0,3731,237,958,1195,1,805,483.0,114.0,122.0,129.0,122.0,110.0,1,openresty/lua-nginx-module,2010-04-16 15:59:01,4341,0.0331720801658604,0.0,0.0,0.8594793826307302,-1,-0.1405206173692698,483.0
koekeishiya/yabai,0,1,0,1,0,1,1,0,0,9597,9597,346,85,koekeishiya/yabai,koekeishiya/yabai,6,47,53,4,78149,30,30,1087,201,803,1004,3,33,441.0,98.0,121.0,91.0,121.0,108.0,0,koekeishiya/yabai,2019-05-04 15:00:50,1036,0.003861003861003861,0.02895752895752896,0.02895752895752896,1.0492277992277992,1.0,2.078185328185328,441.0
apple/darwin-xnu,0,1,0,1,1,0,1,0,0,9466,9466,1466,68,apple/darwin-xnu,apple/darwin-xnu,1,28,29,1,0,0,0,123,0,0,0,0,9,458.0,103.0,120.0,121.0,120.0,97.0,1,apple/darwin-xnu,2017-06-02 21:33:51,1737,0.0005757052389176742,0.0,0.0,0.07081174438687392,-1,-0.9291882556131261,458.0
postgres/postgres,0,1,0,1,0,0,0,0,0,9272,9272,3037,49,postgres/postgres,postgres/postgres,1,77,78,53,0,0,0,53143,0,0,0,0,42,502.0,123.0,119.0,153.0,119.0,111.0,1,postgres/postgres,2010-09-21 11:35:45,4183,0.012670332297394215,0.0,0.0,12.704518288309826,-1,11.704518288309826,502.0
SpacehuhnTech/esp8266_deauther,0,1,0,1,1,1,1,0,0,9261,9261,2020,62,SpacehuhnTech/esp8266_deauther,SpacehuhnTech/esp8266_deauther,3,125,128,60,318803,18,257,769,80,758,838,0,115,488.0,116.0,118.0,131.0,118.0,121.0,1,SpacehuhnTech/esp8266_deauther,2017-01-07 13:39:23,1883,0.03186404673393521,0.13648433351035583,0.009559214020180564,0.40839086563993626,14.277777777777779,14.695727857437895,488.0
Tencent/wcdb,1,1,0,1,0,0,1,1,0,9250,9250,1224,74,Tencent/wcdb,Tencent/wcdb,3,34,37,22,267,12,40,1070,224,589,813,1,44,450.0,100.0,117.0,116.0,117.0,100.0,1,Tencent/wcdb,2017-05-11 09:25:03,1759,0.012507106310403639,0.02274019329164298,0.006822057987492893,0.6083001705514497,3.3333333333333335,3.948455561872276,450.0
