fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
oracle/graal,1,1,0,0,0,1,1,0,0,16229,16229,1252,67,oracle/graal,351.0,246679.0,30.0,83.0,63960.0,756.0,2113.0,2869.0,89.0,1310.0,1399.0,0.0,71.0,oracle/graal,2016-01-14 17:11:35,2276,108.38268892794376,0.1542179261862917,0.0364674868189806,0.0131810193321616,28.10193321616872,2.7666666666666666,30.88178090216755,0
TeamNewPipe/NewPipe,0,1,0,1,0,1,1,1,0,15651,15651,1945,73,TeamNewPipe/NewPipe,883.0,5150984.0,30.0,30.0,9666.0,1021.0,5290.0,6311.0,33.0,1510.0,1543.0,4.0,125.0,TeamNewPipe/NewPipe,2015-09-03 23:39:26,2409,2138.2249896222497,0.3665421336654213,0.012453300124533,0.012453300124533,4.012453300124533,1.0,5.024906600249066,0
winterbe/java8-tutorial,0,1,0,1,0,0,1,0,0,15256,15256,3715,74,winterbe/java8-tutorial,12.0,0.0,2.0,0.0,149.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,41.0,winterbe/java8-tutorial,2014-03-16 17:25:43,2945,0.0,0.0040747028862478,0.0,0.0006791171477079,0.0505942275042444,0.0,0.0512733446519523,1
android10/Android-CleanArchitecture,0,1,0,1,0,1,1,0,0,15057,15057,3337,75,android10/Android-CleanArchitecture,12.0,0.0,2.0,0.0,248.0,127.0,122.0,249.0,16.0,41.0,57.0,0.0,20.0,android10/Android-CleanArchitecture,2014-08-19 14:09:26,2789,0.0,0.0043026174256005,0.0,0.0007171029042667,0.0889207601290785,0.0,0.0896378630333452,1
openzipkin/zipkin,1,1,0,1,0,0,1,0,0,14931,14931,2835,76,openzipkin/zipkin,124.0,404.0,30.0,1.0,2688.0,162.0,1083.0,1245.0,16.0,2120.0,2136.0,4.0,85.0,openzipkin/zipkin,2012-06-06 18:26:16,3593,0.1124408572223768,0.0345115502365711,0.0002783189535207,0.008349568605622,0.748121347063735,0.0333333333333333,0.7898042490026903,0
apache/shardingsphere,1,1,0,1,1,0,1,1,0,14921,14921,5197,77,apache/shardingsphere,467.0,0.0,2.0,0.0,32179.0,378.0,6065.0,6443.0,20.0,9344.0,9364.0,1.0,265.0,apache/shardingsphere,2016-01-18 12:49:26,2272,0.0,0.2055457746478873,0.0,0.0008802816901408,14.163292253521126,0.0,14.164172535211266,0
JeffLi1993/springboot-learning-example,1,0,0,0,0,0,1,0,0,14595,14595,6898,78,JeffLi1993/springboot-learning-example,7.0,0.0,2.0,0.0,167.0,12.0,63.0,75.0,37.0,20.0,57.0,0.0,82.0,JeffLi1993/springboot-learning-example,2017-02-06 07:02:25,1887,0.0,0.003709591944886,0.0,0.0010598834128245,0.0885002649708532,0.0,0.08956014838367769,1
hdodenhof/CircleImageView,1,1,0,1,1,1,0,0,0,14090,14090,3083,79,hdodenhof/CircleImageView,15.0,0.0,2.0,0.0,159.0,13.0,351.0,364.0,2.0,55.0,57.0,0.0,39.0,hdodenhof/CircleImageView,2014-01-17 16:44:46,3003,0.0,0.0049950049950049,0.0,0.0006660006660006,0.0529470529470529,0.0,0.053613053613053505,1
dyc87112/SpringBoot-Learning,1,0,0,0,0,0,0,0,0,13869,13869,4533,80,dyc87112/SpringBoot-Learning,3.0,0.0,2.0,0.0,495.0,34.0,13.0,47.0,29.0,3.0,32.0,0.0,166.0,dyc87112/SpringBoot-Learning,2016-08-21 03:39:06,2056,0.0,0.0014591439688715,0.0,0.0009727626459143,0.2407587548638132,0.0,0.24173151750972752,1
lgvalle/Material-Animations,1,1,0,1,0,0,1,0,1,13585,13585,2541,81,lgvalle/Material-Animations,10.0,0.0,2.0,0.0,76.0,13.0,27.0,40.0,5.0,19.0,24.0,0.0,21.0,lgvalle/Material-Animations,2015-03-08 20:54:00,2588,0.0,0.0038639876352395,0.0,0.0007727975270479,0.0293663060278207,0.0,0.0301391035548686,1
